"Year","Birth order","Age class of mother","Age class of father","Live births"
"2017","Fourth child or more","25-29 years","30-34 years",95
"2017","Fourth child or more","25-29 years","35-39 years",36
"2017","Fourth child or more","25-29 years","40-44 years",12
"2017","Fourth child or more","25-29 years","45-49 years",2
"2017","Fourth child or more","25-29 years","50-59 years",1
"2017","Fourth child or more","25-29 years","60-69 years",0
"2017","Fourth child or more","25-29 years","70 years or more",0
"2017","Fourth child or more","25-29 years","Unknown",0
"2017","Fourth child or more","30-34 years","Less than 20 years",0
"2017","Fourth child or more","30-34 years","20-24 years",0
"2017","Fourth child or more","30-34 years","25-29 years",15
"2017","Fourth child or more","30-34 years","30-34 years",271
"2017","Fourth child or more","30-34 years","35-39 years",342
"2017","Fourth child or more","30-34 years","40-44 years",114
"2017","Fourth child or more","30-34 years","45-49 years",31
"2017","Fourth child or more","30-34 years","50-59 years",14
"2017","Fourth child or more","30-34 years","60-69 years",1
"2017","Fourth child or more","30-34 years","70 years or more",0
"2017","Fourth child or more","30-34 years","Unknown",0
"2017","Fourth child or more","35-39 years","Less than 20 years",0
"2017","Fourth child or more","35-39 years","20-24 years",0
"2017","Fourth child or more","35-39 years","25-29 years",1
"2017","Fourth child or more","35-39 years","30-34 years",47
"2017","Fourth child or more","35-39 years","35-39 years",340
"2017","Fourth child or more","35-39 years","40-44 years",293
"2017","Fourth child or more","35-39 years","45-49 years",110
"2017","Fourth child or more","35-39 years","50-59 years",52
"2017","Fourth child or more","35-39 years","60-69 years",4
"2017","Fourth child or more","35-39 years","70 years or more",0
"2017","Fourth child or more","35-39 years","Unknown",0
"2017","Fourth child or more","40-44 years","Less than 20 years",0
"2017","Fourth child or more","40-44 years","20-24 years",0
"2017","Fourth child or more","40-44 years","25-29 years",0
"2017","Fourth child or more","40-44 years","30-34 years",1
"2017","Fourth child or more","40-44 years","35-39 years",36
"2017","Fourth child or more","40-44 years","40-44 years",132
"2017","Fourth child or more","40-44 years","45-49 years",95
"2017","Fourth child or more","40-44 years","50-59 years",39
"2017","Fourth child or more","40-44 years","60-69 years",0
"2017","Fourth child or more","40-44 years","70 years or more",1
"2017","Fourth child or more","40-44 years","Unknown",0
"2017","Fourth child or more","45-49 years","Less than 20 years",0
"2017","Fourth child or more","45-49 years","20-24 years",0
"2017","Fourth child or more","45-49 years","25-29 years",0
"2017","Fourth child or more","45-49 years","30-34 years",0
"2017","Fourth child or more","45-49 years","35-39 years",1
"2017","Fourth child or more","45-49 years","40-44 years",2
"2017","Fourth child or more","45-49 years","45-49 years",10
"2017","Fourth child or more","45-49 years","50-59 years",10
"2017","Fourth child or more","45-49 years","60-69 years",2
"2017","Fourth child or more","45-49 years","70 years or more",0
"2017","Fourth child or more","45-49 years","Unknown",0
"2017","Fourth child or more","50 years or more","Less than 20 years",0
"2017","Fourth child or more","50 years or more","20-24 years",0
"2017","Fourth child or more","50 years or more","25-29 years",0
"2017","Fourth child or more","50 years or more","30-34 years",0
"2017","Fourth child or more","50 years or more","35-39 years",0
"2017","Fourth child or more","50 years or more","40-44 years",0
"2017","Fourth child or more","50 years or more","45-49 years",0
"2017","Fourth child or more","50 years or more","50-59 years",0
"2017","Fourth child or more","50 years or more","60-69 years",0
"2017","Fourth child or more","50 years or more","70 years or more",0
"2017","Fourth child or more","50 years or more","Unknown",0
"2017","Mother not married","Less than 20 years","Less than 20 years",49
"2017","Mother not married","Less than 20 years","20-24 years",119
"2017","Mother not married","Less than 20 years","25-29 years",42
"2017","Mother not married","Less than 20 years","30-34 years",13
"2017","Mother not married","Less than 20 years","35-39 years",4
"2017","Mother not married","Less than 20 years","40-44 years",2
"2017","Mother not married","Less than 20 years","45-49 years",0
"2017","Mother not married","Less than 20 years","50-59 years",0
"2017","Mother not married","Less than 20 years","60-69 years",0
"2017","Mother not married","Less than 20 years","70 years or more",0
"2017","Mother not married","Less than 20 years","Unknown",57
"2017","Mother not married","20-24 years","Less than 20 years",27
"2017","Mother not married","20-24 years","20-24 years",482
"2017","Mother not married","20-24 years","25-29 years",659
"2017","Mother not married","20-24 years","30-34 years",295
"2017","Mother not married","20-24 years","35-39 years",90
"2017","Mother not married","20-24 years","40-44 years",28
"2017","Mother not married","20-24 years","45-49 years",17
"2017","Mother not married","20-24 years","50-59 years",3
"2017","Mother not married","20-24 years","60-69 years",0
"2017","Mother not married","20-24 years","70 years or more",0
"2017","Mother not married","20-24 years","Unknown",310
"2017","Mother not married","25-29 years","Less than 20 years",3
"2017","Mother not married","25-29 years","20-24 years",192
"2017","Mother not married","25-29 years","25-29 years",1711
"2017","Mother not married","25-29 years","30-34 years",1683
"2017","Mother not married","25-29 years","35-39 years",592
"2017","Mother not married","25-29 years","40-44 years",193
"2017","Mother not married","25-29 years","45-49 years",66
"2017","Mother not married","25-29 years","50-59 years",46
"2017","Mother not married","25-29 years","60-69 years",1
"2017","Mother not married","25-29 years","70 years or more",0
"2017","Mother not married","25-29 years","Unknown",361
"2017","Mother not married","30-34 years","Less than 20 years",0
"2017","Mother not married","30-34 years","20-24 years",47
"2017","Mother not married","30-34 years","25-29 years",710
"2017","Mother not married","30-34 years","30-34 years",3052
"2017","Mother not married","30-34 years","35-39 years",2275
"2017","Mother not married","30-34 years","40-44 years",754
"2017","Mother not married","30-34 years","45-49 years",235
"2017","Mother not married","30-34 years","50-59 years",100
"2017","Mother not married","30-34 years","60-69 years",8
"2017","Mother not married","30-34 years","70 years or more",1
"2017","Mother not married","30-34 years","Unknown",327
"2017","Mother not married","35-39 years","Less than 20 years",0
"2017","Mother not married","35-39 years","20-24 years",15
"2017","Mother not married","35-39 years","25-29 years",198
"2017","Mother not married","35-39 years","30-34 years",1028
"2017","Mother not married","35-39 years","35-39 years",2300
"2017","Mother not married","35-39 years","40-44 years",1271
"2017","Mother not married","35-39 years","45-49 years",464
"2017","Mother not married","35-39 years","50-59 years",186
"2017","Mother not married","35-39 years","60-69 years",17
"2017","Mother not married","35-39 years","70 years or more",1
"2017","Mother not married","35-39 years","Unknown",319
"2017","Mother not married","40-44 years","Less than 20 years",0
"2017","Mother not married","40-44 years","20-24 years",2
"2017","Mother not married","40-44 years","25-29 years",25
"2017","Mother not married","40-44 years","30-34 years",119
"2017","Mother not married","40-44 years","35-39 years",356
"2017","Mother not married","40-44 years","40-44 years",513
"2017","Mother not married","40-44 years","45-49 years",257
"2017","Mother not married","40-44 years","50-59 years",142
"2017","Mother not married","40-44 years","60-69 years",7
"2017","Mother not married","40-44 years","70 years or more",1
"2017","Mother not married","40-44 years","Unknown",112
"2017","Mother not married","45-49 years","Less than 20 years",0
"2017","Mother not married","45-49 years","20-24 years",0
"2017","Mother not married","45-49 years","25-29 years",2
"2017","Mother not married","45-49 years","30-34 years",6
"2017","Mother not married","45-49 years","35-39 years",20
"2017","Mother not married","45-49 years","40-44 years",26
"2017","Mother not married","45-49 years","45-49 years",28
"2017","Mother not married","45-49 years","50-59 years",24
"2017","Mother not married","45-49 years","60-69 years",0
"2017","Mother not married","45-49 years","70 years or more",0
"2017","Mother not married","45-49 years","Unknown",15
"2017","Mother not married","50 years or more","Less than 20 years",0
"2017","Mother not married","50 years or more","20-24 years",0
"2017","Mother not married","50 years or more","25-29 years",0
"2017","Mother not married","50 years or more","30-34 years",0
"2017","Mother not married","50 years or more","35-39 years",0
"2017","Mother not married","50 years or more","40-44 years",0
"2017","Mother not married","50 years or more","45-49 years",0
"2017","Mother not married","50 years or more","50-59 years",2
"2017","Mother not married","50 years or more","60-69 years",3
"2017","Mother not married","50 years or more","70 years or more",0
"2017","Mother not married","50 years or more","Unknown",11
"2018","First child","Less than 20 years","Less than 20 years",1
"2018","First child","Less than 20 years","20-24 years",32
"2018","First child","Less than 20 years","25-29 years",20
"2018","First child","Less than 20 years","30-34 years",10
"2018","First child","Less than 20 years","35-39 years",1
"2018","First child","Less than 20 years","40-44 years",2
"2018","First child","Less than 20 years","45-49 years",1
"2018","First child","Less than 20 years","50-59 years",0
"2018","First child","Less than 20 years","60-69 years",0
"2018","First child","Less than 20 years","70 years or more",0
"2018","First child","Less than 20 years","Unknown",0
"2018","First child","20-24 years","Less than 20 years",4
"2018","First child","20-24 years","20-24 years",436
"2018","First child","20-24 years","25-29 years",1177
"2018","First child","20-24 years","30-34 years",421
"2018","First child","20-24 years","35-39 years",125
"2018","First child","20-24 years","40-44 years",34
"2018","First child","20-24 years","45-49 years",7
"2018","First child","20-24 years","50-59 years",4
"2018","First child","20-24 years","60-69 years",2
"2018","First child","20-24 years","70 years or more",0
"2018","First child","20-24 years","Unknown",0
"2018","First child","25-29 years","Less than 20 years",1
"2018","First child","25-29 years","20-24 years",160
"2018","First child","25-29 years","25-29 years",3310
"2018","First child","25-29 years","30-34 years",3497
"2018","First child","25-29 years","35-39 years",985
"2018","First child","25-29 years","40-44 years",211
"2018","First child","25-29 years","45-49 years",79
"2018","First child","25-29 years","50-59 years",47
"2018","First child","25-29 years","60-69 years",5
"2018","First child","25-29 years","70 years or more",1
"2018","First child","25-29 years","Unknown",0
"2018","First child","30-34 years","Less than 20 years",0
"2018","First child","30-34 years","20-24 years",31
"2018","First child","30-34 years","25-29 years",825
"2018","First child","30-34 years","30-34 years",5776
"2018","First child","30-34 years","35-39 years",3579
"2018","First child","30-34 years","40-44 years",878
"2018","First child","30-34 years","45-49 years",227
"2018","First child","30-34 years","50-59 years",106
"2018","First child","30-34 years","60-69 years",14
"2018","First child","30-34 years","70 years or more",2
"2018","First child","30-34 years","Unknown",0
"2018","First child","35-39 years","Less than 20 years",0
"2018","First child","35-39 years","20-24 years",8
"2018","First child","35-39 years","25-29 years",135
"2018","First child","35-39 years","30-34 years",985
"2018","First child","35-39 years","35-39 years",2487
"2018","First child","35-39 years","40-44 years",1269
"2018","First child","35-39 years","45-49 years",359
"2018","First child","35-39 years","50-59 years",194
"2018","First child","35-39 years","60-69 years",23
"2018","First child","35-39 years","70 years or more",6
"2018","First child","35-39 years","Unknown",0
"2018","First child","40-44 years","Less than 20 years",0
"2018","First child","40-44 years","20-24 years",2
"2018","First child","40-44 years","25-29 years",16
"2018","First child","40-44 years","30-34 years",86
"2018","First child","40-44 years","35-39 years",252
"2018","First child","40-44 years","40-44 years",465
"2018","First child","40-44 years","45-49 years",247
"2018","First child","40-44 years","50-59 years",137
"2018","First child","40-44 years","60-69 years",15
"2018","First child","40-44 years","70 years or more",4
"2018","First child","40-44 years","Unknown",0
"2018","First child","45-49 years","Less than 20 years",0
"2018","First child","45-49 years","20-24 years",0
"2018","First child","45-49 years","25-29 years",1
"2018","First child","45-49 years","30-34 years",3
"2018","First child","45-49 years","35-39 years",11
"2018","First child","45-49 years","40-44 years",20
"2018","First child","45-49 years","45-49 years",37
"2018","First child","45-49 years","50-59 years",36
"2018","First child","45-49 years","60-69 years",6
"2018","First child","45-49 years","70 years or more",0
"2018","First child","45-49 years","Unknown",0
"2018","First child","50 years or more","Less than 20 years",0
"2018","First child","50 years or more","20-24 years",0
"2018","First child","50 years or more","25-29 years",0
"2018","First child","50 years or more","30-34 years",1
"2018","First child","50 years or more","35-39 years",2
"2018","First child","50 years or more","40-44 years",1
"2018","First child","50 years or more","45-49 years",2
"2018","First child","50 years or more","50-59 years",7
"2018","First child","50 years or more","60-69 years",2
"2018","First child","50 years or more","70 years or more",0
"2018","First child","50 years or more","Unknown",0
"2018","Second child","Less than 20 years","Less than 20 years",0
"2018","Second child","Less than 20 years","20-24 years",3
"2018","Second child","Less than 20 years","25-29 years",2
"2018","Second child","Less than 20 years","30-34 years",2
"2018","Second child","Less than 20 years","35-39 years",0
"2018","Second child","Less than 20 years","40-44 years",0
"2018","Second child","Less than 20 years","45-49 years",0
"2018","Second child","Less than 20 years","50-59 years",0
"2018","Second child","Less than 20 years","60-69 years",0
"2018","Second child","Less than 20 years","70 years or more",0
"2018","Second child","Less than 20 years","Unknown",0
"2018","Second child","20-24 years","Less than 20 years",0
"2018","Second child","20-24 years","20-24 years",96
"2018","Second child","20-24 years","25-29 years",393
"2018","Second child","20-24 years","30-34 years",203
"2018","Second child","20-24 years","35-39 years",45
"2018","Second child","20-24 years","40-44 years",16
"2018","Second child","20-24 years","45-49 years",2
"2018","Second child","20-24 years","50-59 years",2
"2018","Second child","20-24 years","60-69 years",2
"2018","Second child","20-24 years","70 years or more",0
"2018","Second child","20-24 years","Unknown",0
"2018","Second child","25-29 years","Less than 20 years",0
"2018","Second child","25-29 years","20-24 years",45
"2018","Second child","25-29 years","25-29 years",1672
"2018","Second child","25-29 years","30-34 years",2452
"2018","Second child","25-29 years","35-39 years",751
"2018","Second child","25-29 years","40-44 years",186
"2018","Second child","25-29 years","45-49 years",50
"2018","Second child","25-29 years","50-59 years",25
"2018","Second child","25-29 years","60-69 years",1
"2018","Second child","25-29 years","70 years or more",1
"2018","Second child","25-29 years","Unknown",0
"2018","Second child","30-34 years","Less than 20 years",0
"2018","Second child","30-34 years","20-24 years",16
"2018","Second child","30-34 years","25-29 years",461
"2018","Second child","30-34 years","30-34 years",4960
"2018","Second child","30-34 years","35-39 years",3932
"2018","Second child","30-34 years","40-44 years",941
"2018","Second child","30-34 years","45-49 years",229
"2018","Second child","30-34 years","50-59 years",100
"2018","Second child","30-34 years","60-69 years",4
"2018","Second child","30-34 years","70 years or more",1
"2018","Second child","30-34 years","Unknown",0
"2018","Second child","35-39 years","Less than 20 years",0
"2018","Second child","35-39 years","20-24 years",3
"2018","Second child","35-39 years","25-29 years",74
"2018","Second child","35-39 years","30-34 years",998
"2018","Second child","35-39 years","35-39 years",3916
"2018","Second child","35-39 years","40-44 years",2005
"2018","Second child","35-39 years","45-49 years",509
"2018","Second child","35-39 years","50-59 years",176
"2018","Second child","35-39 years","60-69 years",16
"2018","Second child","35-39 years","70 years or more",1
"2018","Second child","35-39 years","Unknown",0
"2018","Second child","40-44 years","Less than 20 years",0
"2018","Second child","40-44 years","20-24 years",0
"2018","Second child","40-44 years","25-29 years",9
"2018","Second child","40-44 years","30-34 years",97
"2018","Second child","40-44 years","35-39 years",348
"2018","Second child","40-44 years","40-44 years",697
"2018","Second child","40-44 years","45-49 years",304
"2018","Second child","40-44 years","50-59 years",132
"2018","Second child","40-44 years","60-69 years",13
"2018","Second child","40-44 years","70 years or more",2
"2018","Second child","40-44 years","Unknown",0
"2018","Second child","45-49 years","Less than 20 years",0
"2018","Second child","45-49 years","20-24 years",0
"2018","Second child","45-49 years","25-29 years",0
"2018","Second child","45-49 years","30-34 years",2
"2018","Second child","45-49 years","35-39 years",8
"2018","Second child","45-49 years","40-44 years",19
"2018","Second child","45-49 years","45-49 years",31
"2018","Second child","45-49 years","50-59 years",27
"2018","Second child","45-49 years","60-69 years",4
"2018","Second child","45-49 years","70 years or more",0
"2018","Second child","45-49 years","Unknown",0
"2018","Second child","50 years or more","Less than 20 years",0
"2018","Second child","50 years or more","20-24 years",0
"2018","Second child","50 years or more","25-29 years",0
"2018","Second child","50 years or more","30-34 years",0
"2018","Second child","50 years or more","35-39 years",0
"2018","Second child","50 years or more","40-44 years",0
"2018","Second child","50 years or more","45-49 years",3
"2018","Second child","50 years or more","50-59 years",2
"2018","Second child","50 years or more","60-69 years",1
"2018","Second child","50 years or more","70 years or more",1
"2018","Second child","50 years or more","Unknown",0
"2018","Third child","Less than 20 years","Less than 20 years",0
"2018","Third child","Less than 20 years","20-24 years",0
"2018","Third child","Less than 20 years","25-29 years",1
"2018","Third child","Less than 20 years","30-34 years",0
"2018","Third child","Less than 20 years","35-39 years",0
"2018","Third child","Less than 20 years","40-44 years",0
"2018","Third child","Less than 20 years","45-49 years",0
"2018","Third child","Less than 20 years","50-59 years",0
"2018","Third child","Less than 20 years","60-69 years",0
"2018","Third child","Less than 20 years","70 years or more",0
"2018","Third child","Less than 20 years","Unknown",0
"2018","Third child","20-24 years","Less than 20 years",0
"2018","Third child","20-24 years","20-24 years",9
"2018","Third child","20-24 years","25-29 years",43
"2018","Third child","20-24 years","30-34 years",29
"2018","Third child","20-24 years","35-39 years",8
"2018","Third child","20-24 years","40-44 years",3
"2018","Third child","20-24 years","45-49 years",0
"2018","Third child","20-24 years","50-59 years",0
"2018","Third child","20-24 years","60-69 years",0
"2018","Third child","20-24 years","70 years or more",0
"2018","Third child","20-24 years","Unknown",0
"2018","Third child","25-29 years","Less than 20 years",0
"2018","Third child","25-29 years","20-24 years",4
"2018","Third child","25-29 years","25-29 years",327
"2018","Third child","25-29 years","30-34 years",595
"2018","Third child","25-29 years","35-39 years",195
"2018","Third child","25-29 years","40-44 years",69
"2018","Third child","25-29 years","45-49 years",21
"2018","Third child","25-29 years","50-59 years",8
"2018","Third child","25-29 years","60-69 years",1
"2018","Third child","25-29 years","70 years or more",0
"2018","Third child","25-29 years","Unknown",0
"2018","Third child","30-34 years","Less than 20 years",0
"2018","Third child","30-34 years","20-24 years",0
"2018","Third child","30-34 years","25-29 years",91
"2018","Third child","30-34 years","30-34 years",1353
"2018","Third child","30-34 years","35-39 years",1325
"2018","Third child","30-34 years","40-44 years",359
"2018","Third child","30-34 years","45-49 years",100
"2018","Third child","30-34 years","50-59 years",32
"2018","Third child","30-34 years","60-69 years",1
"2018","Third child","30-34 years","70 years or more",0
"2018","Third child","30-34 years","Unknown",0
"2018","Third child","35-39 years","Less than 20 years",0
"2018","Third child","35-39 years","20-24 years",0
"2018","Third child","35-39 years","25-29 years",11
"2018","Third child","35-39 years","30-34 years",273
"2018","Third child","35-39 years","35-39 years",1514
"2018","Third child","35-39 years","40-44 years",854
"2018","Third child","35-39 years","45-49 years",222
"2018","Third child","35-39 years","50-59 years",84
"2018","Third child","35-39 years","60-69 years",3
"2018","Third child","35-39 years","70 years or more",1
"2018","Third child","35-39 years","Unknown",0
"2018","Third child","40-44 years","Less than 20 years",0
"2018","Third child","40-44 years","20-24 years",0
"2018","Third child","40-44 years","25-29 years",0
"2018","Third child","40-44 years","30-34 years",22
"2018","Third child","40-44 years","35-39 years",121
"2018","Third child","40-44 years","40-44 years",276
"2018","Third child","40-44 years","45-49 years",145
"2018","Third child","40-44 years","50-59 years",57
"2018","Third child","40-44 years","60-69 years",6
"2018","Third child","40-44 years","70 years or more",0
"2018","Third child","40-44 years","Unknown",0
"2018","Third child","45-49 years","Less than 20 years",0
"2018","Third child","45-49 years","20-24 years",0
"2018","Third child","45-49 years","25-29 years",0
"2018","Third child","45-49 years","30-34 years",1
"2018","Third child","45-49 years","35-39 years",1
"2018","Third child","45-49 years","40-44 years",7
"2018","Third child","45-49 years","45-49 years",13
"2018","Third child","45-49 years","50-59 years",5
"2018","Third child","45-49 years","60-69 years",1
"2018","Third child","45-49 years","70 years or more",0
"2018","Third child","45-49 years","Unknown",0
"2018","Third child","50 years or more","Less than 20 years",0
"2018","Third child","50 years or more","20-24 years",0
"2018","Third child","50 years or more","25-29 years",0
"2018","Third child","50 years or more","30-34 years",0
"2018","Third child","50 years or more","35-39 years",1
"2018","Third child","50 years or more","40-44 years",0
"2018","Third child","50 years or more","45-49 years",0
"2018","Third child","50 years or more","50-59 years",1
"2018","Third child","50 years or more","60-69 years",0
"2018","Third child","50 years or more","70 years or more",0
"2018","Third child","50 years or more","Unknown",0
"2018","Fourth child or more","Less than 20 years","Less than 20 years",0
"2018","Fourth child or more","Less than 20 years","20-24 years",0
"2018","Fourth child or more","Less than 20 years","25-29 years",0
"2018","Fourth child or more","Less than 20 years","30-34 years",0
"2018","Fourth child or more","Less than 20 years","35-39 years",0
"2018","Fourth child or more","Less than 20 years","40-44 years",0
"2018","Fourth child or more","Less than 20 years","45-49 years",0
"2018","Fourth child or more","Less than 20 years","50-59 years",0
"2018","Fourth child or more","Less than 20 years","60-69 years",0
"2018","Fourth child or more","Less than 20 years","70 years or more",0
"2018","Fourth child or more","Less than 20 years","Unknown",0
"2018","Fourth child or more","20-24 years","Less than 20 years",0
"2018","Fourth child or more","20-24 years","20-24 years",1
"2018","Fourth child or more","20-24 years","25-29 years",1
"2018","Fourth child or more","20-24 years","30-34 years",5
"2018","Fourth child or more","20-24 years","35-39 years",2
"2018","Fourth child or more","20-24 years","40-44 years",0
"2018","Fourth child or more","20-24 years","45-49 years",0
"2018","Fourth child or more","20-24 years","50-59 years",0
"2018","Fourth child or more","20-24 years","60-69 years",0
"2018","Fourth child or more","20-24 years","70 years or more",0
"2018","Fourth child or more","20-24 years","Unknown",0
"2018","Fourth child or more","25-29 years","Less than 20 years",0
"2018","Fourth child or more","25-29 years","20-24 years",1
"2018","Fourth child or more","25-29 years","25-29 years",49
"2018","Fourth child or more","25-29 years","30-34 years",101
"2018","Fourth child or more","25-29 years","35-39 years",25
"2018","Fourth child or more","25-29 years","40-44 years",12
"2018","Fourth child or more","25-29 years","45-49 years",7
"2018","Fourth child or more","25-29 years","50-59 years",4
"2018","Fourth child or more","25-29 years","60-69 years",0
"2018","Fourth child or more","25-29 years","70 years or more",0
"2018","Fourth child or more","25-29 years","Unknown",0
"2018","Fourth child or more","30-34 years","Less than 20 years",0
"2018","Fourth child or more","30-34 years","20-24 years",0
"2018","Fourth child or more","30-34 years","25-29 years",18
"2018","Fourth child or more","30-34 years","30-34 years",262
"2018","Fourth child or more","30-34 years","35-39 years",328
"2018","Fourth child or more","30-34 years","40-44 years",124
"2018","Fourth child or more","30-34 years","45-49 years",48
"2018","Fourth child or more","30-34 years","50-59 years",14
"2018","Fourth child or more","30-34 years","60-69 years",3
"2018","Fourth child or more","30-34 years","70 years or more",0
"2018","Fourth child or more","30-34 years","Unknown",0
"2018","Fourth child or more","35-39 years","Less than 20 years",0
"2018","Fourth child or more","35-39 years","20-24 years",0
"2018","Fourth child or more","35-39 years","25-29 years",2
"2018","Fourth child or more","35-39 years","30-34 years",56
"2018","Fourth child or more","35-39 years","35-39 years",406
"2018","Fourth child or more","35-39 years","40-44 years",317
"2018","Fourth child or more","35-39 years","45-49 years",95
"2018","Fourth child or more","35-39 years","50-59 years",37
"2018","Fourth child or more","35-39 years","60-69 years",5
"2018","Fourth child or more","35-39 years","70 years or more",0
"2018","Fourth child or more","35-39 years","Unknown",0
"2018","Fourth child or more","40-44 years","Less than 20 years",0
"2018","Fourth child or more","40-44 years","20-24 years",0
"2018","Fourth child or more","40-44 years","25-29 years",1
"2018","Fourth child or more","40-44 years","30-34 years",4
"2018","Fourth child or more","40-44 years","35-39 years",37
"2018","Fourth child or more","40-44 years","40-44 years",138
"2018","Fourth child or more","40-44 years","45-49 years",87
"2018","Fourth child or more","40-44 years","50-59 years",39
"2018","Fourth child or more","40-44 years","60-69 years",1
"2018","Fourth child or more","40-44 years","70 years or more",0
"2018","Fourth child or more","40-44 years","Unknown",0
"2018","Fourth child or more","45-49 years","Less than 20 years",0
"2018","Fourth child or more","45-49 years","20-24 years",0
"2018","Fourth child or more","45-49 years","25-29 years",0
"2018","Fourth child or more","45-49 years","30-34 years",0
"2018","Fourth child or more","45-49 years","35-39 years",1
"2018","Fourth child or more","45-49 years","40-44 years",8
"2018","Fourth child or more","45-49 years","45-49 years",12
"2018","Fourth child or more","45-49 years","50-59 years",8
"2018","Fourth child or more","45-49 years","60-69 years",0
"2018","Fourth child or more","45-49 years","70 years or more",0
"2018","Fourth child or more","45-49 years","Unknown",0
"2018","Fourth child or more","50 years or more","Less than 20 years",0
"2018","Fourth child or more","50 years or more","20-24 years",0
"2018","Fourth child or more","50 years or more","25-29 years",0
"2018","Fourth child or more","50 years or more","30-34 years",0
"2018","Fourth child or more","50 years or more","35-39 years",0
"2018","Fourth child or more","50 years or more","40-44 years",0
"2018","Fourth child or more","50 years or more","45-49 years",0
"2018","Fourth child or more","50 years or more","50-59 years",2
"2018","Fourth child or more","50 years or more","60-69 years",0
"2018","Fourth child or more","50 years or more","70 years or more",0
"2018","Fourth child or more","50 years or more","Unknown",0
"2018","Mother not married","Less than 20 years","Less than 20 years",54
"2018","Mother not married","Less than 20 years","20-24 years",93
"2018","Mother not married","Less than 20 years","25-29 years",35
"2018","Mother not married","Less than 20 years","30-34 years",12
"2018","Mother not married","Less than 20 years","35-39 years",4
"2018","Mother not married","Less than 20 years","40-44 years",1
"2018","Mother not married","Less than 20 years","45-49 years",1
"2018","Mother not married","Less than 20 years","50-59 years",1
"2018","Mother not married","Less than 20 years","60-69 years",0
"2018","Mother not married","Less than 20 years","70 years or more",0
"2018","Mother not married","Less than 20 years","Unknown",67
"2018","Mother not married","20-24 years","Less than 20 years",24
"2018","Mother not married","20-24 years","20-24 years",512
"2018","Mother not married","20-24 years","25-29 years",619
"2018","Mother not married","20-24 years","30-34 years",271
"2018","Mother not married","20-24 years","35-39 years",78
"2018","Mother not married","20-24 years","40-44 years",23
"2018","Mother not married","20-24 years","45-49 years",10
"2018","Mother not married","20-24 years","50-59 years",3
"2018","Mother not married","20-24 years","60-69 years",0
"2018","Mother not married","20-24 years","70 years or more",0
"2018","Mother not married","20-24 years","Unknown",263
"2018","Mother not married","25-29 years","Less than 20 years",3
"2018","Mother not married","25-29 years","20-24 years",181
"2018","Mother not married","25-29 years","25-29 years",1672
"2018","Mother not married","25-29 years","30-34 years",1702
"2018","Mother not married","25-29 years","35-39 years",591
"2018","Mother not married","25-29 years","40-44 years",184
"2018","Mother not married","25-29 years","45-49 years",75
"2018","Mother not married","25-29 years","50-59 years",27
"2018","Mother not married","25-29 years","60-69 years",0
"2018","Mother not married","25-29 years","70 years or more",0
"2018","Mother not married","25-29 years","Unknown",329
"2018","Mother not married","30-34 years","Less than 20 years",0
"2018","Mother not married","30-34 years","20-24 years",52
"2018","Mother not married","30-34 years","25-29 years",734
"2018","Mother not married","30-34 years","30-34 years",3298
"2018","Mother not married","30-34 years","35-39 years",2352
"2018","Mother not married","30-34 years","40-44 years",735
"2018","Mother not married","30-34 years","45-49 years",236
"2018","Mother not married","30-34 years","50-59 years",96
"2018","Mother not married","30-34 years","60-69 years",13
"2018","Mother not married","30-34 years","70 years or more",1
"2018","Mother not married","30-34 years","Unknown",303
"2018","Mother not married","35-39 years","Less than 20 years",0
"2018","Mother not married","35-39 years","20-24 years",20
"2018","Mother not married","35-39 years","25-29 years",190
"2018","Mother not married","35-39 years","30-34 years",969
"2018","Mother not married","35-39 years","35-39 years",2537
"2018","Mother not married","35-39 years","40-44 years",1353
"2018","Mother not married","35-39 years","45-49 years",513
"2018","Mother not married","35-39 years","50-59 years",195
"2018","Mother not married","35-39 years","60-69 years",15
"2018","Mother not married","35-39 years","70 years or more",1
"2018","Mother not married","35-39 years","Unknown",258
"2018","Mother not married","40-44 years","Less than 20 years",0
"2018","Mother not married","40-44 years","20-24 years",5
"2018","Mother not married","40-44 years","25-29 years",32
"2018","Mother not married","40-44 years","30-34 years",126
"2018","Mother not married","40-44 years","35-39 years",387
"2018","Mother not married","40-44 years","40-44 years",543
"2018","Mother not married","40-44 years","45-49 years",315
"2018","Mother not married","40-44 years","50-59 years",146
"2018","Mother not married","40-44 years","60-69 years",8
"2018","Mother not married","40-44 years","70 years or more",2
"2018","Mother not married","40-44 years","Unknown",137
"2018","Mother not married","45-49 years","Less than 20 years",0
"2018","Mother not married","45-49 years","20-24 years",0
"2018","Mother not married","45-49 years","25-29 years",2
"2018","Mother not married","45-49 years","30-34 years",9
"2018","Mother not married","45-49 years","35-39 years",18
"2018","Mother not married","45-49 years","40-44 years",38
"2018","Mother not married","45-49 years","45-49 years",41
"2018","Mother not married","45-49 years","50-59 years",23
"2018","Mother not married","45-49 years","60-69 years",2
"2018","Mother not married","45-49 years","70 years or more",0
"2018","Mother not married","45-49 years","Unknown",27
"2018","Mother not married","50 years or more","Less than 20 years",0
"2018","Mother not married","50 years or more","20-24 years",0
"2018","Mother not married","50 years or more","25-29 years",0
"2018","Mother not married","50 years or more","30-34 years",0
"2018","Mother not married","50 years or more","35-39 years",1
"2018","Mother not married","50 years or more","40-44 years",1
